City_ID,City,Lat,Lng,Max Temp (C),Humidity,Cloudiness,Wind Speed,Country,Date
170,ancud,-41.8697,-73.8203,9.120000000000005,82,6,4.43,CL,1723668716
171,finsterwalde,51.6333,13.7167,22.140000000000043,93,100,2.67,DE,1723668717
172,nuuk,64.1835,-51.7216,7.340000000000032,87,75,5.14,GL,1723668718
173,antofagasta,-23.65,-70.4,15.600000000000023,79,38,3.29,CL,1723668720
174,nagqu,31.5,92.0,-1.3899999999999864,90,6,0.82,CN,1723668721
175,cururupu,-1.8283,-44.8683,25.150000000000034,70,2,1.81,BR,1723668722
176,tsiombe,-25.3,45.4833,19.760000000000048,79,0,2.16,MG,1723668723
177,aral,40.5156,81.2636,28.75,31,100,1.0,CN,1723668724
178,sisimiut,66.9395,-53.6735,5.520000000000039,84,100,3.3,GL,1723668726
179,bemidji,47.4736,-94.8803,24.470000000000027,68,40,7.72,US,1723668727
180,prabumulih,-3.45,104.25,22.180000000000007,98,37,1.46,ID,1723668728
181,pemba,-12.974,40.5178,25.390000000000043,83,40,3.13,MZ,1723668729
182,hobyo,5.3505,48.5268,24.29000000000002,86,40,10.7,SO,1723668730
183,hasaki,35.7333,140.8333,27.220000000000027,90,6,1.65,JP,1723668732
184,ostersund,63.1792,14.6357,18.120000000000005,78,92,3.58,SE,1723668733
185,tralee,52.2704,-9.7026,15.629999999999995,93,99,2.69,IE,1723668734
186,herat,34.5,62.0,28.870000000000005,28,2,4.91,AF,1723668735
187,el alto,-4.2714,-81.2147,23.810000000000002,71,54,5.02,PE,1723668736
188,muntok,-2.0667,105.1833,26.75,80,53,3.95,ID,1723668738
189,berezovyy,51.6667,135.7,18.77000000000004,82,98,0.77,RU,1723668739
190,cabinda,-5.55,12.2,23.08000000000004,88,0,1.03,AO,1723668740
191,guarapari,-20.6667,-40.4975,22.160000000000025,77,15,3.23,BR,1723668741
192,xam nua,20.4197,104.0439,20.340000000000032,100,100,0.82,LA,1723668742
193,ciudad gustavo diaz ordaz,26.2333,-98.5833,38.900000000000034,43,84,1.34,MX,1723668744
194,robertsport,6.7533,-11.3686,24.480000000000018,91,100,7.55,LR,1723668745
195,enewetak,11.3474,162.3373,28.650000000000034,77,89,6.72,MH,1723668746
196,le tampon,-21.2667,55.5167,14.890000000000043,68,0,1.54,RE,1723668747
197,kenai,60.5544,-151.2583,16.05000000000001,74,0,2.06,US,1723668460
198,kouroussa,10.65,-9.8833,21.400000000000034,96,100,2.68,GN,1723668750
199,praia da vitoria,38.7333,-27.0667,27.140000000000043,78,20,2.7,PT,1723668751
200,gadzhiyevo,69.2551,33.3362,14.210000000000036,62,96,3.74,RU,1723668752
201,fort st. john,56.2499,-120.8529,20.939999999999998,52,75,4.63,CA,1723668754
202,shubarkuduk,49.1447,56.4872,19.920000000000016,44,65,2.78,KZ,1723668756
203,avarua,-21.2078,-159.775,24.03000000000003,64,40,5.66,CK,1723668757
204,muisne,0.6,-80.0333,25.360000000000014,80,61,5.17,EC,1723668758
205,badulla,6.9895,81.0557,22.379999999999995,87,100,1.88,LK,1723668759
206,juneau,58.3019,-134.4197,16.340000000000032,67,75,1.54,US,1723668760
207,aktau,43.65,51.2,21.32000000000005,54,100,6.28,KZ,1723668762
208,hazorasp,41.3194,61.0742,24.910000000000025,23,0,6.21,UZ,1723668763
209,tual,-5.6667,132.75,25.210000000000036,77,79,7.01,ID,1723668764
210,margaret river,-33.95,115.0667,12.650000000000034,65,100,6.91,AU,1723668765
211,christchurch,-43.5333,172.6333,5.230000000000018,87,92,1.48,NZ,1723668344
212,atasu,48.6814,71.6433,18.74000000000001,34,3,2.29,KZ,1723668768
213,new norfolk,-42.7826,147.0587,9.28000000000003,92,100,0.81,AU,1723668769
214,port saint john's,-31.6229,29.5448,13.920000000000016,54,0,7.53,ZA,1723668770
215,ribeira brava,32.65,-17.0667,24.350000000000023,72,0,0.19,PT,1723668771
216,stanovoye,52.7638,38.3582,17.07000000000005,64,71,4.2,RU,1723668772
217,aasiaat,68.7098,-52.8699,3.2100000000000364,95,100,4.24,GL,1723668774
218,nogliki,51.8333,143.1667,14.620000000000005,86,16,1.54,RU,1723668775
219,remire-montjoly,4.9167,-52.2667,31.02000000000004,66,0,4.63,GF,1723668776
220,ulsteinvik,62.3432,5.8487,14.5,89,100,2.58,NO,1723668777
221,puerto baquerizo moreno,-0.9,-89.6,22.55000000000001,68,75,4.12,EC,1723668778
222,greymouth,-42.4667,171.2,7.4500000000000455,93,100,1.44,NZ,1723668780
223,bikenibeu village,1.3673,173.1241,29.980000000000018,79,20,2.57,KI,1723668781
224,masumbwe,-3.6333,32.1833,25.0,48,81,1.35,TZ,1723668782
225,howrah,22.5892,88.3103,28.0,94,40,0.0,IN,1723668783
226,el triunfo,-1.9333,-79.9667,29.02000000000004,42,47,1.59,EC,1723668784
227,chulakkurgan,43.765,69.1814,26.450000000000045,15,0,5.29,KZ,1723668786
228,bodo,67.28,14.405,17.650000000000034,80,0,0.45,NO,1723668787
229,tibagi,-24.5094,-50.4136,16.129999999999995,41,0,1.56,BR,1723668788
230,copala,16.65,-98.9833,29.200000000000045,70,36,4.65,MX,1723668789
231,petrozavodsk,61.7849,34.3469,8.700000000000045,100,6,2.0,RU,1723668790
232,sumbawa besar,-8.5,117.4333,18.32000000000005,93,72,2.39,ID,1723668792
233,saint-philippe,-21.3585,55.7679,18.77000000000004,83,50,5.59,RE,1723668793
234,ciudad lazaro cardenas,17.9583,-102.2,29.910000000000025,67,72,4.47,MX,1723668794
235,dzhangala,49.2167,50.3333,20.920000000000016,45,50,5.68,KZ,1723668795
236,hanceville,34.0607,-86.7675,31.760000000000048,45,61,1.37,US,1723668798
237,faya-largeau,17.9257,19.1043,33.81,45,70,4.64,TD,1723668799
238,falam,22.9167,93.6833,20.170000000000016,98,100,1.41,MM,1723668800
239,kanggye,40.9695,126.5852,21.07000000000005,96,1,1.01,KP,1723668801
240,manta,-0.95,-80.7333,28.879999999999995,70,40,3.6,EC,1723668802
241,yazoo city,32.8551,-90.4056,37.04000000000002,36,55,4.11,US,1723668804
242,bhisho,-32.8472,27.4422,7.490000000000009,63,0,7.64,ZA,1723668806
243,ta`u,-14.2336,-169.5144,24.400000000000034,74,98,10.45,AS,1723668807
244,kubrat,43.8,26.5,22.090000000000032,67,0,7.48,BG,1723668808
245,castillos,-34.1667,-53.8333,11.0,72,85,1.51,UY,1723668810
246,senanga,-16.1167,23.2667,18.57000000000005,13,9,2.9,ZM,1723668811
247,thanh hoa,19.8,105.7667,26.060000000000002,93,100,0.6,VN,1723668685
248,kasongo-lunda,-6.4667,16.8167,25.32000000000005,39,67,0.95,CD,1723668813
249,antsiranana,-12.2787,49.2917,22.07000000000005,78,80,6.58,MG,1723668814
250,sonargaon,23.6422,90.6023,28.03000000000003,90,100,3.16,BD,1723668815
251,kiama,-34.6833,150.8667,11.430000000000007,93,68,0.45,AU,1723668817
252,darab,28.7519,54.5444,32.950000000000045,43,82,1.34,IR,1723668818
253,kapuskasing,49.4169,-82.4331,27.0,65,75,3.6,CA,1723668819
254,walvis bay,-22.9575,14.5053,13.379999999999995,80,0,2.19,NA,1723668820
255,carora,10.1755,-70.0827,35.870000000000005,29,62,4.56,VE,1723668822
256,muli,2.9167,73.5667,27.77000000000004,77,100,9.24,MV,1723668823
257,atafu village,-8.5421,-172.5159,28.379999999999995,72,14,4.66,TK,1723668824
258,prince rupert,54.3161,-130.3201,15.830000000000041,81,0,3.09,CA,1723668826
259,bandon,51.7469,-8.7425,15.810000000000002,94,99,6.79,IE,1723668827
260,tocopilla,-22.092,-70.1979,17.939999999999998,68,20,3.89,CL,1723668829
261,souillac,-20.5167,57.5167,22.210000000000036,83,75,5.14,MU,1723668830
262,pacific grove,36.6177,-121.9166,22.99000000000001,84,20,3.13,US,1723668831
263,jaciara,-15.9653,-54.9683,32.43000000000001,15,0,0.88,BR,1723668833
264,khovd,48.0056,91.6419,18.760000000000048,42,0,1.94,MN,1723668834
265,bafq,31.6128,55.4107,36.49000000000001,16,30,1.99,IR,1723668835
266,san juan bautista,-14.0108,-75.7358,25.74000000000001,34,0,5.66,PE,1723668836
267,whitehorse,60.7161,-135.0538,8.78000000000003,90,100,2.57,CA,1723668837
268,shantou,23.3681,116.7148,24.920000000000016,100,20,1.0,CN,1723668839
269,enriquillo,17.9,-71.2333,33.82000000000005,72,99,5.85,DO,1723668840
270,at taj,24.2049,23.2857,36.610000000000014,28,0,2.73,LY,1723668841
271,ribeira grande,38.5167,-28.7,26.220000000000027,78,20,3.6,PT,1723668842
272,arraial do cabo,-22.9661,-42.0278,20.980000000000018,73,0,5.14,BR,1723668845
273,yuksekova,37.5736,44.2872,18.860000000000014,55,40,0.0,TR,1723668846
274,midvagur,62.0511,-7.1939,11.460000000000036,93,100,12.35,FO,1723668847
275,kapa'a,22.0752,-159.319,28.180000000000007,68,0,6.17,US,1723668848
276,codrington,-38.2667,141.9667,11.300000000000011,89,100,3.43,AU,1723668849
277,caleta de carquin,-11.0925,-77.6267,18.590000000000032,72,15,4.23,PE,1723668851
278,arteche,12.2645,125.4048,24.850000000000023,91,100,1.88,PH,1723668852
279,darwin,-12.4611,130.8418,20.99000000000001,94,3,1.03,AU,1723668853
280,montepuez,-13.1256,38.9997,20.30000000000001,73,0,2.71,MZ,1723668854
281,fortaleza,-3.7227,-38.5247,28.370000000000005,99,0,6.69,BR,1723668794
282,mejit,10.2753,170.8646,28.400000000000034,76,100,6.43,MH,1723668857
283,madera,37.1666,-119.8343,35.29000000000002,19,0,4.39,US,1723668858
284,mount gambier,-37.8333,140.7667,10.210000000000036,98,100,2.33,AU,1723668859
285,suva,-18.1416,178.4415,22.710000000000036,73,75,3.6,FJ,1723668650
286,mata-utu,-13.2816,-176.1745,25.310000000000002,75,100,11.92,WF,1723668861
287,amga,60.8953,131.9608,9.160000000000025,83,94,0.82,RU,1723668863
288,mount isa,-20.7333,139.5,7.8700000000000045,76,0,0.0,AU,1723668864
289,alghero,40.5589,8.3181,26.05000000000001,89,20,1.03,IT,1723668865
290,colchani,-20.3,-66.9333,8.180000000000007,26,0,2.5,BO,1723668866
291,hinton,53.4001,-117.5857,25.57000000000005,35,10,2.17,CA,1723668867
292,mashava,-20.0367,30.4823,18.629999999999995,22,0,0.91,ZW,1723668869
293,veraval,20.9,70.3667,26.80000000000001,88,56,3.75,IN,1723668870
294,koungheul,13.9833,-14.8,28.99000000000001,67,100,4.74,SN,1723668871
295,itamaraca,-7.7478,-34.8256,27.03000000000003,78,60,5.95,BR,1723668872
296,buka,40.8108,69.1986,27.78000000000003,31,6,3.56,UZ,1723668873
297,anadyr,64.75,177.4833,7.28000000000003,65,0,6.0,RU,1723668875
298,moree,-29.4667,149.85,15.629999999999995,96,100,0.79,AU,1723668876
299,lae,-6.7221,146.9847,24.370000000000005,88,9,3.16,PG,1723668877
300,st. john's,47.5649,-52.7093,15.640000000000043,74,75,3.09,CA,1723668812
301,urangan,-25.3,152.9,19.02000000000004,93,49,2.99,AU,1723668879
